ADC1 ADC2 NaN
1 70 549 
1 44 335 
1 53 412 
1 43 330 
1 53 410 
1 44 338 
1 51 389 
1 50 384 
1 54 416 
1 43 327 
1 67 516 
1 43 333 
1 44 340 
1 43 325 
1 44 335 
1 49 380 
1 43 331 
1 43 333 
1 43 325 
1 57 441 
1 44 331 
1 52 403 
1 43 330 
1 54 415 
1 44 334 
1 49 369 
1 60 466 
1 50 386 
1 44 335 
1 58 445 
1 48 373 
1 45 343 
1 43 325 
1 43 333 
1 45 342 
1 45 343 
1 44 339 
1 43 331 
1 55 427 
1 52 397 
1 43 329 
1 64 495 
1 43 329 
1 44 340 
1 43 331 
1 44 341 
1 43 333 
1 55 423 
1 43 326 
1 48 370 
1 74 578 
1 44 335 
1 47 354 
1 43 336 
1 43 326 
1 49 376 
1 42 325 
1 42 328 
1 45 343 
1 44 341 
1 44 340 
1 43 331 
1 52 406 
1 52 397 
1 43 330 
1 52 402 
1 49 379 
1 43 327 
1 44 333 
1 44 334 
1 43 329 
1 73 569 
1 45 346 
1 46 351 
1 43 329 
1 46 347 
1 50 382 
1 43 331 
1 44 339 
1 56 433 
1 54 420 
1 50 384 
1 45 346 
1 51 392 
1 43 331 
1 53 408 
1 48 376 
1 52 402 
1 51 390 
1 41 316 
1 42 321 
1 47 358 
1 42 322 
1 42 317 
1 55 428 
1 54 414 
1 43 330 
1 43 331 
1 53 407 
1 52 400 
1 42 321 
1 43 332 
1 43 328 
1 42 322 
1 51 390 
1 43 331 
1 41 318 
1 43 332 
1 43 331 
1 46 349 
1 44 334 
1 47 366 
1 43 330 
1 41 321 
1 43 331 
1 44 337 
1 45 344 
1 43 327 
1 43 329 
1 50 388 
1 52 401 
1 44 334 
1 44 338 
1 42 325 
1 53 410 
1 43 329 
1 43 328 
1 51 392 
1 44 335 
1 43 332 
1 44 331 
1 43 331 
1 62 485 
1 62 479 
1 44 335 
1 53 411 
1 43 327 
1 43 328 
1 56 432 
1 57 438 
1 44 342 
1 48 372 
1 43 333 
1 41 322 
1 53 412 
1 45 340 
1 46 360 
1 73 566 
1 43 326 
1 44 333 
1 42 317 
1 44 339 
1 48 376 
1 52 405 
1 44 333 
1 43 330 
1 65 508 
1 45 346 
1 44 335 
1 43 326 
1 45 345 
1 42 324 
1 48 374 
1 43 332 
1 44 336 
1 43 330 
1 43 333 
1 42 327 
1 51 392 
1 45 346 
1 45 344 
1 71 546 
1 49 372 
1 50 387 
1 44 336 
1 48 368 
1 43 330 
1 44 332 
1 51 399 
1 44 332 
1 42 321 
1 43 330 
1 51 397 
1 43 323 
1 43 329 
1 45 348 
1 43 331 
1 43 331 
1 74 573 
1 49 374 
1 55 426 
1 44 341 
1 44 335 
1 54 417 
1 44 333 
1 42 329 
1 52 404 
1 44 333 
1 46 356 
1 43 331 
1 44 336 
1 43 328 
1 43 331 
1 44 341 
1 54 417 
1 43 329 
1 44 334 
1 45 348 
1 43 329 
1 42 324 
1 57 438 
1 49 380 
1 43 329 
1 72 558 
1 51 390 
1 47 362 
1 46 353 
1 54 418 
1 47 356 
1 45 343 
1 43 330 
1 44 334 
1 50 381 
1 43 334 
1 43 326 
1 54 420 
1 45 341 
1 46 354 
1 73 567 
1 45 342 
1 43 331 
1 50 387 
1 49 372 
1 43 330 
1 44 339 
1 51 392 
1 42 320 
1 50 387 
1 45 347 
1 43 332 
1 42 327 
1 51 396 
1 45 340 
1 43 327 
1 54 415 
1 44 336 
1 41 319 
1 45 340 
1 46 356 
1 43 329 
1 43 331 
1 45 347 
1 67 520 
1 48 373 
1 53 413 
1 45 344 
1 70 543 
1 47 360 
1 44 340 
1 43 335 
1 43 330 
1 46 356 
1 49 378 
1 44 336 
1 50 385 
1 55 419 
1 70 546 
1 45 340 
1 44 341 
1 55 425 
1 43 323 
1 47 360 
1 43 328 
1 53 408 
1 48 374 
1 54 422 
1 43 335 
1 55 430 
1 69 537 
1 64 497 
1 47 359 
1 44 340 
1 42 324 
1 47 365 
1 45 343 
1 44 342 
1 51 395 
1 47 365 
1 44 339 
1 44 340 
1 55 421 
1 43 330 
1 44 340 
1 43 328 
1 47 362 
1 43 326 
1 44 334 
1 45 350 
1 43 328 
1 56 428 
1 62 484 
1 43 332 
1 42 326 
1 48 371 
1 43 328 
1 44 338 
1 53 406 
1 44 333 
1 43 332 
1 43 329 
1 48 370 
1 43 327 
1 43 324 
1 51 392 
1 44 337 
1 51 389 
1 44 334 
1 43 326 
1 54 417 
1 66 512 
1 42 320 
1 43 328 
1 51 389 
1 44 338 
1 53 401 
1 43 327 
1 43 328 
1 43 328 
1 43 328 
1 43 332 
1 55 427 
1 63 488 
1 43 331 
1 45 345 
1 43 330 
1 51 392 
1 42 318 
1 53 408 
1 49 380 
1 43 330 
1 44 338 
1 49 378 
1 43 330 
1 42 330 
1 46 348 
1 58 452 
1 43 327 
1 43 330 
1 49 378 
1 75 581 
1 47 360 
1 44 334 
1 44 332 
1 44 335 
1 50 387 
1 46 356 
1 48 373 
1 50 384 
1 55 423 
1 43 332 
1 42 326 
1 43 333 
1 43 329 
1 57 441 
1 43 330 
1 48 370 
1 45 344 
1 52 397 
1 43 326 
1 45 343 
1 58 450 
1 48 375 
1 44 341 
1 46 347 
1 49 374 
1 44 335 
1 46 356 
1 45 337 
1 42 325 
1 43 333 
1 44 333 
1 46 353 
1 43 331 
1 44 342 
1 43 331 
1 43 334 
1 43 332 
1 43 333 
1 50 386 
1 44 338 
1 46 358 
1 61 471 
1 41 317 
1 44 333 
1 44 332 
1 43 331 
1 44 342 
1 50 386 
1 44 338 
1 48 369 
1 47 367 
1 43 333 
1 43 328 
1 54 418 
1 44 341 
1 43 324 
1 50 385 
1 54 418 
1 61 475 
1 58 451 
1 50 382 
1 43 326 
1 42 321 
1 47 356 
1 43 329 
1 54 411 
1 52 403 
1 43 335 
1 47 352 
1 43 330 
1 44 337 
1 50 386 
1 43 332 
1 65 509 
1 44 337 
1 47 361 
1 55 423 
1 44 336 
1 53 406 
1 53 407 
1 43 329 
1 47 360 
1 56 435 
1 43 332 
1 43 331 
1 43 327 
1 44 335 
1 56 430 
1 51 389 
1 43 329 
1 46 346 
1 46 351 
1 65 505 
1 53 404 
1 55 429 
1 71 551 
1 42 319 
1 56 432 
1 44 327 
1 53 411 
1 44 341 
1 56 431 
1 43 331 
1 54 418 
1 56 427 
1 46 357 
1 43 332 
1 46 354 
1 51 398 
1 43 328 
1 57 440 
1 50 386 
1 43 330 
1 42 322 
1 50 380 
1 44 340 
1 43 333 
1 48 368 
1 44 335 
1 43 328 
1 43 335 
1 43 327 
1 45 346 
1 54 416 
1 44 335 
1 43 327 
1 56 431 
1 50 379 
1 50 383 
1 56 434 
1 73 571 
1 42 320 
1 44 345 
1 43 325 
1 43 325 
1 49 383 
1 56 433 
1 43 331 
1 43 330 
1 44 337 
1 43 326 
1 43 331 
1 53 407 
1 45 345 
1 69 535 
1 71 553 
1 54 413 
1 43 331 
1 43 330 
1 52 405 
1 43 331 
1 43 330 
1 50 380 
1 43 328 
1 44 337 
1 44 336 
1 54 412 
1 44 335 
1 44 335 
1 44 339 
1 55 428 
1 42 319 
1 55 431 
1 42 318 
1 44 334 
1 51 391 
1 56 435 
1 43 328 
1 51 392 
1 43 329 
1 45 345 
1 55 429 
1 43 326 
1 43 329 
1 44 333 
1 43 330 
1 46 354 
1 55 423 
1 70 540 
1 41 318 
1 68 527 
1 52 402 
1 48 367 
1 43 327 
1 43 325 
1 50 382 
1 45 343 
1 43 331 
1 43 325 
1 50 388 
1 43 333 
1 44 336 
1 51 395 
1 44 336 
1 43 334 
1 50 386 
1 62 480 
1 64 491 
1 50 388 
1 45 341 
1 52 408 
1 46 353 
1 50 389 
1 43 336 
1 43 329 
1 42 324 
1 44 341 
1 44 338 
1 52 407 
1 46 354 
1 43 332 
1 45 343 
1 57 443 
1 43 328 
1 60 462 
1 49 373 
1 55 419 
1 43 328 
1 43 331 
1 45 340 
1 44 335 
1 45 341 
1 46 355 
1 47 360 
1 43 321 
1 45 346 
1 51 395 
1 58 444 
1 43 327 
1 54 422 
1 53 407 
1 44 334 
1 47 365 
1 43 329 
1 43 327 
1 47 366 
1 69 537 
1 42 328 
1 44 332 
1 44 335 
1 43 329 
1 44 336 
1 52 401 
1 44 338 
1 46 347 
1 54 421 
1 47 367 
1 43 330 
1 45 344 
1 47 359 
1 44 341 
1 46 358 
1 55 428 
1 50 384 
1 46 354 
1 56 438 
1 48 371 
1 43 329 
1 43 329 
1 44 334 
1 43 332 
1 46 353 
1 51 387 
1 42 326 
1 45 344 
1 44 338 
1 43 330 
1 43 331 
1 54 422 
1 43 334 
1 44 331 
1 43 326 
1 43 327 
1 42 318 
1 60 461 
1 43 332 
1 45 343 
1 43 330 
1 45 349 
1 44 334 
1 43 328 
1 46 351 
1 43 332 
1 45 342 
1 51 391 
1 44 337 
1 50 389 
1 43 331 
1 47 364 
1 50 383 
1 44 334 
1 45 348 
1 60 465 
1 70 543 
1 44 341 
1 45 346 
1 50 385 
1 44 335 
1 47 364 
1 43 326 
1 43 333 
1 53 407 
1 53 412 
1 43 327 
1 43 325 
1 49 378 
1 44 335 
1 43 333 
1 44 331 
1 73 567 
1 42 327 
1 52 397 
1 43 329 
1 42 323 
1 44 336 
1 44 335 
1 43 330 
1 53 413 
1 51 394 
1 43 326 
1 43 331 
1 64 492 
1 43 323 
1 43 329 
1 53 408 
1 43 330 
1 44 332 
1 52 399 
1 44 339 
