ADC1 ADC2 Nan
1 46 355 
1 44 337 
1 45 347 
1 44 337 
1 45 347 
1 44 340 
1 45 341 
1 46 358 
1 44 338 
1 44 340 
1 45 343 
1 45 345 
1 45 342 
1 45 349 
1 46 350 
1 44 339 
1 44 337 
1 45 348 
1 44 340 
1 44 338 
1 46 357 
1 44 336 
1 44 339 
1 44 339 
1 43 329 
1 44 340 
1 44 338 
1 43 332 
1 46 355 
1 46 352 
1 45 344 
1 46 353 
1 46 349 
1 43 330 
1 44 339 
1 45 340 
1 47 359 
1 46 351 
1 45 345 
1 44 339 
1 46 353 
1 46 348 
1 44 338 
1 45 342 
1 45 349 
1 45 345 
1 43 330 
1 45 344 
1 45 346 
1 47 357 
1 44 339 
1 45 345 
1 46 354 
1 45 351 
1 44 339 
1 44 344 
1 44 336 
1 47 362 
1 45 343 
1 44 337 
1 43 332 
1 47 357 
1 44 338 
1 46 356 
1 45 342 
1 46 356 
1 45 343 
1 45 347 
1 46 354 
1 45 345 
1 45 343 
1 45 341 
1 43 335 
1 44 338 
1 44 342 
1 45 344 
1 44 338 
1 44 338 
1 44 342 
1 43 338 
1 44 340 
1 45 349 
1 45 343 
1 45 347 
1 47 357 
1 45 344 
1 44 338 
1 45 345 
1 46 355 
1 44 337 
1 44 335 
1 44 337 
1 46 356 
1 45 343 
1 45 347 
1 45 344 
1 46 350 
1 44 339 
1 45 341 
1 46 355 
1 44 337 
1 46 351 
1 45 346 
1 43 330 
1 47 358 
1 45 349 
1 46 352 
1 44 335 
1 45 348 
1 44 343 
1 45 342 
1 46 352 
1 46 350 
1 43 330 
1 45 345 
1 45 348 
1 44 337 
1 46 351 
1 44 338 
1 45 346 
1 44 341 
1 46 357 
1 46 351 
1 46 353 
1 47 360 
1 45 349 
1 45 345 
1 44 338 
1 46 354 
1 44 337 
1 45 346 
1 44 337 
1 45 350 
1 45 343 
1 45 346 
1 44 338 
1 44 339 
1 45 342 
1 44 341 
1 44 340 
1 43 333 
1 45 341 
1 46 350 
1 44 339 
1 46 351 
1 43 333 
1 44 341 
1 45 349 
1 46 354 
1 43 334 
1 45 347 
1 46 349 
1 45 343 
1 43 334 
1 46 356 
1 46 352 
1 44 341 
1 44 336 
1 44 336 
1 46 353 
1 44 342 
1 45 345 
1 45 344 
1 44 339 
1 44 336 
1 44 335 
1 44 338 
1 47 359 
1 46 350 
1 44 337 
1 45 344 
1 46 351 
1 44 338 
1 45 344 
1 45 344 
1 45 341 
1 46 355 
1 47 358 
1 44 335 
1 44 336 
1 45 340 
1 44 337 
1 44 337 
1 44 338 
1 43 332 
1 46 353 
1 44 339 
1 45 343 
1 43 331 
1 44 337 
1 46 355 
1 44 337 
1 45 348 
1 45 345 
1 46 350 
1 45 343 
1 46 353 
1 45 343 
1 44 337 
1 44 339 
1 46 353 
1 46 352 
1 46 351 
1 44 344 
1 44 333 
1 46 353 
1 44 338 
1 44 337 
1 44 339 
1 44 340 
1 45 341 
1 45 346 
1 44 335 
1 45 341 
1 43 335 
1 45 341 
1 44 340 
1 44 338 
