ADC1 ADC2 NaN
1 274 2169 
1 91 707 
1 82 635 
1 116 913 
1 80 617 
1 90 706 
1 120 939 
1 65 499 
1 132 1041 
1 112 880 
1 111 876 
1 94 737 
1 94 736 
1 196 1543 
1 90 703 
1 96 748 
1 125 978 
1 104 815 
1 110 866 
1 295 2333 
1 87 675 
1 98 765 
1 81 633 
1 94 732 
1 88 685 
1 85 661 
1 93 729 
1 117 920 
1 128 1002 
1 421 3337 
1 95 740 
1 94 735 
1 77 602 
1 86 673 
1 276 2182 
1 126 995 
1 98 766 
1 278 2199 
1 105 827 
1 157 1235 
1 108 844 
1 91 711 
1 87 682 
1 83 642 
1 180 1420 
1 166 1303 
1 308 2437 
1 81 636 
1 89 693 
1 92 722 
1 90 705 
1 89 693 
1 170 1338 
1 84 656 
1 224 1768 
1 84 658 
1 124 975 
1 113 883 
1 131 1027 
1 110 866 
1 114 890 
1 89 699 
1 105 824 
1 85 663 
1 92 721 
1 113 886 
1 106 828 
1 421 3338 
1 101 793 
1 142 1116 
1 106 825 
1 97 762 
1 102 801 
1 139 1089 
1 109 854 
1 88 682 
1 74 580 
1 110 860 
1 101 784 
1 81 628 
1 115 905 
1 89 695 
1 97 760 
1 536 4081 
1 93 731 
1 96 750 
1 85 658 
1 74 579 
1 273 2159 
1 102 797 
1 134 1055 
1 149 1168 
1 99 775 
1 149 1169 
1 87 682 
1 182 1434 
1 100 784 
1 77 598 
1 88 690 
1 554 4095 
1 314 2484 
1 98 768 
1 202 1593 
1 135 1061 
1 89 693 
1 145 1134 
1 139 1093 
1 96 749 
1 104 815 
1 135 1055 
1 81 631 
1 96 749 
1 102 806 
1 85 664 
1 96 753 
1 93 730 
1 113 887 
1 119 931 
1 128 1004 
1 110 857 
1 88 688 
1 105 820 
1 83 647 
1 112 878 
1 90 702 
1 66 512 
1 91 709 
1 73 570 
1 83 651 
1 90 701 
1 133 1043 
1 149 1172 
1 110 861 
1 96 755 
1 103 808 
1 131 1030 
1 121 950 
1 99 770 
1 359 2842 
1 82 637 
1 137 1075 
1 120 942 
1 87 672 
1 272 2154 
1 86 673 
1 70 543 
1 123 965 
1 88 682 
1 95 747 
1 82 645 
1 98 768 
1 88 685 
1 126 985 
1 114 894 
1 107 836 
1 94 733 
1 85 662 
1 110 865 
1 153 1204 
1 124 974 
1 115 900 
1 85 667 
1 104 810 
1 111 867 
1 71 554 
1 105 825 
1 99 769 
1 270 2138 
1 99 776 
1 119 935 
1 146 1148 
1 77 599 
1 284 2248 
1 96 751 
1 94 736 
1 123 966 
1 95 741 
1 75 586 
1 121 947 
1 98 764 
1 91 713 
1 58 447 
1 98 770 
1 95 745 
1 115 906 
1 92 721 
1 322 2545 
1 132 1036 
1 148 1163 
1 146 1149 
1 100 787 
1 87 682 
1 179 1406 
1 123 967 
1 103 803 
1 83 643 
1 95 738 
1 109 854 
1 116 909 
1 121 949 
1 94 733 
1 87 682 
1 87 683 
1 146 1148 
1 182 1436 
1 111 872 
1 74 572 
1 110 855 
1 173 1366 
1 64 495 
1 119 933 
1 99 772 
1 98 769 
1 97 761 
1 85 665 
1 85 663 
1 80 623 
1 81 633 
1 99 776 
1 106 830 
1 93 723 
1 118 921 
1 119 932 
1 96 752 
1 87 674 
1 321 2538 
1 98 768 
1 101 786 
1 176 1387 
1 149 1176 
1 82 643 
1 88 688 
1 139 1091 
1 94 737 
1 90 705 
1 131 1031 
1 108 843 
1 69 534 
1 136 1066 
1 95 741 
1 89 696 
1 87 679 
1 137 1077 
1 161 1268 
1 137 1081 
1 146 1147 
1 94 735 
1 190 1493 
1 115 901 
1 91 712 
1 105 821 
1 98 768 
1 96 752 
1 123 962 
1 92 719 
1 94 730 
1 154 1209 
1 115 898 
1 98 763 
1 96 751 
1 105 817 
1 143 1129 
1 77 604 
1 432 3427 
1 126 986 
1 119 932 
1 97 759 
1 140 1099 
1 101 791 
1 196 1542 
1 91 713 
1 312 2472 
1 100 786 
1 130 1023 
1 149 1176 
1 256 2022 
1 106 826 
1 101 788 
1 91 708 
1 169 1331 
1 115 904 
1 94 731 
1 146 1147 
1 87 676 
1 88 688 
1 68 533 
1 196 1548 
1 97 759 
1 103 804 
1 91 709 
1 106 833 
1 92 716 
1 88 683 
1 95 738 
1 83 645 
1 89 698 
1 100 785 
1 92 720 
1 98 766 
1 88 687 
1 78 608 
1 141 1109 
1 90 700 
1 275 2173 
1 95 742 
1 88 692 
1 122 958 
1 121 948 
1 104 812 
1 108 842 
1 123 967 
1 79 619 
1 106 829 
1 97 757 
1 76 593 
1 188 1486 
1 85 665 
1 91 709 
1 110 859 
1 107 834 
1 91 713 
1 173 1358 
1 117 914 
1 222 1748 
1 84 652 
1 198 1562 
1 125 982 
1 98 762 
1 101 794 
1 108 847 
1 86 669 
1 165 1301 
1 69 538 
1 151 1189 
1 138 1088 
1 86 673 
1 125 981 
1 99 776 
1 88 687 
1 105 822 
1 95 740 
1 81 631 
1 119 930 
1 255 2011 
1 119 933 
1 117 918 
1 198 1566 
1 95 744 
1 96 757 
1 144 1136 
1 141 1108 
1 120 943 
1 126 988 
1 117 918 
1 118 927 
1 89 698 
1 114 897 
1 105 825 
1 71 554 
1 84 652 
1 73 567 
1 81 633 
1 108 845 
1 84 659 
1 148 1163 
1 98 763 
1 85 660 
1 133 1045 
1 98 766 
1 119 937 
1 83 652 
1 96 749 
1 100 786 
1 125 978 
1 184 1452 
1 111 873 
1 82 642 
1 118 923 
1 178 1403 
1 156 1224 
1 69 533 
1 76 594 
1 113 885 
1 80 620 
1 128 1006 
1 95 746 
1 76 593 
1 816 4095 
1 130 1026 
1 102 802 
1 111 873 
1 129 1012 
1 87 681 
1 100 781 
1 81 635 
1 90 703 
1 129 1014 
1 112 879 
1 130 1023 
1 145 1142 
1 125 981 
1 98 768 
1 119 936 
1 172 1360 
1 170 1338 
1 93 720 
1 110 862 
1 105 827 
1 81 630 
1 271 2137 
1 95 743 
1 89 690 
1 112 877 
1 98 765 
1 95 742 
1 120 940 
1 104 819 
1 74 575 
1 197 1551 
1 104 811 
1 134 1053 
1 93 727 
1 125 979 
1 506 3980 
1 78 606 
1 96 754 
1 102 804 
1 94 733 
1 112 877 
1 88 689 
1 103 811 
1 137 1077 
1 122 956 
1 394 3122 
1 110 862 
1 122 956 
1 88 682 
1 304 2408 
1 98 763 
1 86 674 
1 134 1049 
1 125 982 
1 118 925 
1 89 689 
1 121 953 
1 92 720 
1 73 570 
1 134 1054 
1 108 849 
1 98 771 
1 116 909 
1 251 1979 
1 85 662 
1 82 636 
1 122 960 
1 98 771 
1 98 764 
1 241 1900 
1 96 752 
1 93 721 
1 109 858 
1 139 1093 
1 95 740 
1 97 758 
1 126 992 
1 155 1219 
1 161 1270 
1 84 658 
1 98 767 
1 88 685 
1 73 569 
1 101 789 
1 89 691 
1 97 760 
1 165 1302 
1 109 854 
1 93 722 
1 104 816 
1 106 829 
1 97 755 
1 88 690 
1 108 844 
1 90 702 
1 113 884 
1 108 844 
1 137 1078 
1 126 992 
1 87 675 
1 95 744 
1 147 1156 
1 82 640 
1 119 933 
1 73 568 
1 115 900 
1 67 522 
1 105 827 
1 97 757 
1 98 766 
1 84 653 
1 94 734 
1 105 827 
1 83 650 
1 116 909 
1 70 539 
1 90 706 
1 81 633 
1 116 914 
1 92 723 
1 142 1119 
1 106 832 
1 114 890 
1 90 703 
1 155 1224 
1 94 738 
1 108 846 
1 184 1450 
1 83 645 
1 152 1198 
1 112 875 
1 91 713 
1 151 1191 
1 96 750 
1 115 905 
1 269 2124 
1 101 792 
1 105 825 
1 87 681 
1 130 1023 
1 109 854 
1 75 582 
1 97 761 
1 90 701 
1 130 1019 
1 97 760 
1 115 899 
1 163 1281 
1 114 893 
1 82 636 
1 113 886 
1 109 856 
1 121 945 
1 106 831 
1 104 816 
1 79 615 
1 296 2344 
1 162 1278 
1 146 1153 
1 98 767 
1 104 811 
1 104 811 
1 86 670 
1 106 829 
1 115 901 
1 78 606 
1 313 2481 
1 133 1039 
1 399 3154 
1 94 738 
1 111 864 
1 101 790 
1 157 1239 
1 91 711 
1 111 870 
1 120 940 
1 108 848 
1 103 807 
1 99 775 
1 104 814 
1 137 1073 
1 98 767 
1 108 845 
1 300 2371 
1 436 3456 
1 113 880 
1 115 908 
1 94 735 
1 120 941 
1 65 504 
1 94 738 
1 94 730 
1 85 660 
1 138 1082 
1 82 640 
1 101 793 
1 102 800 
1 105 829 
1 295 2334 
1 142 1113 
1 114 894 
1 102 799 
1 94 735 
1 303 2396 
1 161 1268 
1 108 848 
1 165 1298 
1 96 756 
1 89 695 
1 121 950 
1 143 1120 
1 132 1039 
1 86 669 
1 92 720 
1 124 970 
1 89 695 
1 130 1020 
1 127 999 
1 187 1476 
1 137 1076 
1 101 790 
1 100 782 
1 99 778 
1 109 849 
1 107 836 
1 184 1452 
1 114 890 
1 174 1369 
1 111 868 
1 155 1217 
1 116 912 
1 92 720 
1 90 699 
1 77 599 
1 127 999 
1 114 892 
1 116 915 
1 92 720 
1 143 1119 
1 82 641 
1 88 688 
1 113 879 
1 148 1163 
1 115 902 
1 99 772 
1 153 1204 
1 94 731 
1 134 1058 
1 113 884 
1 69 535 
1 135 1065 
1 87 675 
1 141 1108 
1 102 798 
1 106 834 
1 123 971 
1 114 894 
1 123 969 
1 95 744 
1 166 1310 
1 253 2004 
1 104 816 
1 102 794 
1 103 810 
1 112 878 
1 62 483 
1 146 1149 
1 101 789 
1 104 812 
1 145 1145 
1 82 640 
1 111 871 
1 98 764 
1 167 1316 
1 114 894 
1 92 718 
1 108 850 
1 90 702 
1 107 842 
1 82 642 
1 95 744 
1 104 813 
1 239 1888 
1 107 835 
1 96 754 
1 84 656 
1 125 982 
1 130 1021 
1 99 770 
1 91 707 
1 124 976 
1 79 614 
1 72 559 
1 90 705 
1 96 754 
1 161 1267 
1 162 1275 
1 116 909 
1 147 1156 
1 77 601 
1 95 740 
1 121 952 
1 111 869 
1 97 758 
1 197 1549 
1 88 689 
1 116 913 
1 127 994 
1 99 773 
1 134 1055 
1 137 1077 
1 83 649 
1 344 2723 
1 127 994 
1 104 812 
1 76 586 
1 92 720 
1 309 2445 
1 187 1477 
1 87 681 
1 70 547 
1 107 835 
1 377 2982 
1 102 794 
1 109 856 
1 88 692 
1 104 810 
1 92 719 
1 117 920 
1 93 726 
1 81 635 
1 135 1066 
1 127 998 
1 107 838 
1 75 584 
1 133 1047 
1 270 2137 
1 105 823 
1 102 800 
1 128 1005 
