N t1 t2 CH1_C1 CH1_C2 CH1_C3 CH1_C4 CH1_C5 CH1_C6 CH2_C1 CH2_C2 CH2_C3 CH2_C4 CH2_C5 CH2_C6 AND_C1 AND_C2 AND_C3 AND_C4 AND_C5 AND_C6
1 34.4 34.4 6184 6159 6251 6013 6059 6143 14535 14270 14513 14412 14377 14286 409 409 433 404 442 450
2 36.4 34.4 6416 6402 6631 6566 6719 6680 14286 14506 14320 14184 14296 14613 416 413 432 380 450 406
3 38.4 34.4 6670 6649 6726 6743 6675 6654 14394 14200 14392 14365 14180 14530 382 407 367 402 405 441
4 40.4 34.4 7047 7684 7648 7750 7689 7760 14311 14373 14436 14307 14428 14236 415 385 439 400 433 371
5 42.4 34.4 7827 7814 7909 7603 7903 7859 14743 14240 14403 14584 14442 14486 495 430 420 397 393 406
6 44.4 34.4 8616 8291 8474 8709 8309 8534 14353 14420 14659 14560 14457 14542 382 405 356 396 361 385
7 46.4 34.4 8301 8405 8358 8517 8679 8464 14263 14245 14405 14567 14270 14418 73 74 76 72 72 67
8 48.4 34.4 8664 8564 8650 8581 8727 8553 14178 14305 14438 14420 14593 14437 13 17 13 8 11 11
9 50.4 34.4 8557 8532 8494 8580 8453 8586 14182 14476 14144 14368 14491 14505 5 3 6 5 8 6
10 52.4 34.4 8485 8570 8645 8744 8698 8667 14651 14313 14409 14661 14376 14481 2 4 3 4 6 2
11 54.4 34.4 8443 8703 8347 8582 8384 8630 14507 14324 14256 14212 14213 14421 0 3 2 1 1 1
12 56.4 34.4 8578 8627 8555 8859 8813 8748 14421 14500 14405 14239 14493 14451 1 1 0 0 3 1
13 58.4 34.4 8856 8653 8865 8666 8566 8687 14438 14248 14590 14544 14401 14460 0 2 0 0 1 0
14 60.4 34.4 8782 8545 8406 8470 8316 8514 14561 14333 14648 14355 14584 14474 0 0 2 2 0 0
15 62.4 34.4 5504 5417 5999 5322 5252 5566 14325 14190 14406 14299 14382 14313 0 0 0 0 1 1
16 64.4 34.4 6633 6755 6870 6769 6839 6785 14499 14496 14331 14298 14415 14307 6 4 4 4 1 2
17 34.4 36.4 7281 7480 7538 7418 7672 7427 14500 14601 14561 14674 14399 14480 404 405 407 426 383 414
18 34.4 38.4 7587 7377 7509 7546 7058 7752 14607 14599 14860 14458 14874 14684 397 447 423 391 392 443
19 34.4 40.4 7816 8222 8166 8132 8085 8131 14520 14669 14469 14817 14651 14629 399 403 416 407 429 418
20 34.4 42.4 8030 8121 7934 8049 8051 8017 14695 14723 14741 14738 14475 14676 423 390 411 447 431 415
21 34.4 44.4 8007 7880 7716 7845 7844 7889 14845 14421 14555 14545 14862 14398 315 277 264 326 271 277
22 34.4 46.4 7946 7815 7833 7889 8171 7962 14666 14579 14645 14717 14801 14534 41 36 24 32 40 38
23 34.4 48.4 7816 7809 7792 7846 7930 7765 14517 14518 14699 14464 14765 14599 7 7 12 3 7 2
24 34.4 50.4 8115 7906 7823 7863 7783 8018 14738 14642 14950 14209 14574 14534 1 2 2 3 1 3
25 34.4 52.4 8005 7942 7783 7749 7936 7831 14422 14265 14480 14418 14552 14585 2 1 1 0 3 0
26 34.4 54.4 7838 7687 7814 7842 7951 7747 14215 14634 14280 14591 14664 14660 1 2 4 2 0 0
27 34.4 56.4 8009 8194 8066 8081 8110 7965 14353 14394 14350 14378 14319 14390 0 2 0 0 0 0
28 34.4 58.4 8231 8048 8102 8106 8147 8155 14498 14630 14558 14392 14577 14376 1 0 2 0 1 0
29 34.4 60.4 8214 8062 8201 8238 8099 8286 14782 14625 14560 14646 14279 14496 0 0 0 0 1 0
30 34.4 62.4 8123 8135 8094 7955 8123 8104 14471 14575 14538 14796 14334 14335 1 0 1 0 0 1
31 34.4 64.4 8074 8073 8162 7991 8102 8219 14635 14331 14546 14531 14392 14490 0 0 1 1 0 0
