N t1 t2 CH1_C1 CH1_C2 CH1_C3 CH2_C1 CH2_C2 CH2_C3 AND_C1 AND_C2 AND_C3
1 50 50 12578 12731 12466 13758 13843 13798 390 461 399
2 55 50 11625 11600 11558 13577 13391 13616 428 426 444
3 60 50 11411 11248 11189 13938 13699 13667 308 323 313
4 65 50 11190 11469 11302 13772 13825 13900 6 10 8
5 70 50 11292 11042 11111 13702 13688 13687 5 2 3
6 75 50 10873 10998 11071 13585 13688 13656 2 4 1
7 80 50 11015 10917 10909 13691 13787 13769 17 11 10
8 85 50 10542 10430 10461 13903 13848 13981 0 0 0
9 50 55 10242 10076 10280 13820 13538 1545 466 430 380
10 50 60 10025 9891 10147 13701 13687 13921 222 195 228
11 50 65 10113 10109 10075 13923 13857 13995 2 3 5
12 50 70 10155 10060 10170 13802 13840 13784 3 0 1
13 50 75 9953 9954 10193 13540 13871 13879 3 0 2
14 50 80 9772 9967 10036 13691 13760 13771 0 2 2
15 50 85 9657 9861 9614 13792 13632 13748 0 0 0
