N HV Limiar C1 C2 C3
1 1400 10 4 5 4
2 1400 20 0 1 1
3 1400 30 1 1 0
4 1450 10 28 25 22
5 1450 20 2 3 1
6 1450 30 2 2 2
7 1500 10 41 47 46
8 1500 20 16 11 11
9 1500 30 4 3 4
10 1550 10 120 119 106
11 1550 20 26 29 31
12 1550 30 15 9 11
13 1600 10 249 249 250
14 1600 20 69 78 78
15 1600 30 28 36 34
16 1650 10 455 445 457
17 1650 20 225 237 243
18 1650 30 91 82 90
19 1700 10 760 805 781
20 1700 20 340 345 351
21 1700 30 240 250 265
22 1750 10 1569 1559 1601
23 1750 20 622 631 625
24 1750 30 385 328 330
25 1800 10 3061 6150 3161
26 1800 20 1120 1153 1140
27 1800 30 605 576 577
28 1850 10 5185 5168 5088
29 1850 20 2414 2322 2365
30 1850 30 1096 1120 1152
31 1900 10 7265 7149 7269
32 1900 20 4066 3958 3984
33 1900 30 2160 2304 2215
