N LT C1 C2 C3 C4 C5 C6
1 50 3886 3744 3716 3847 3892 3728
2 100 3730 3630 3749 3802 3784 3799
3 150 3652 6833 3682 3683 3705 3653
3 200 3629 3786 3711 3634 3641 3683
4 250 3754 3746 3658 3811 3702 3669
5 300 3568 3555 3554 3653 3564 3594
6 350 3627 3524 3516 3524 3659 3584
7 400 3561 3513 3581 3513 3542 3540
8 450 3574 3528 3645 3664 3627 3591
9 500 3508 3505 3562 3546 3496 3583
10 550 3561 3580 3567 3663 3513 3515
11 600 3510 3468 3637 3672 3544 3570
12 650 3532 3523 3528 3611 3521 3502
13 700 3507 3595 3584 3572 3633 3548
14 800 3565 3569 3524 3582 3496 3646
15 900 3505 3529 3773 3529 3592 3516
16 1000 3476 3487 3476 3481 3373 3516
17 1200 3430 3423 3415 3427 3413 3484
18 1400 3371 3330 3376 3402 3358 3311
19 1600 3364 3342 3367 3298 3289 3347
20 1800 3372 3412 3317 3374 3322 3288
21 2000 3436 3343 3417 3385 3322 3418
22 2500 3240 3406 3210 3298 3340 3297
23 3000 3254 3261 3394 3244 3343 3361
24 3500 3189 3372 3339 3249 3211 3261
25 4000 3353 3348 3394 3232 3334 3391
