N HV Limiar C1 C2 C3 C4 C5 C6
1 1450 10 97 97 78 108 101 99
2 1450 20 23 35 25 38 41 32
3 1450 30 13 18 9 11 17 11
4 1500 10 159 166 180 156 182 183
5 1500 20 77 72 76 70 91 91
6 1500 30 41 31 28 39 44 31
7 1550 10 321 276 288 279 303 305
8 1550 20 158 134 158 123 137 144
9 1550 30 74 79 90 74 72 73
10 1600 10 569 651 590 567 584 607
11 1600 20 212 208 213 247 210 241
12 1600 30 138 154 140 152 144 153
13 1650 10 1277 1224 1205 1230 1244 1207
14 1650 20 432 469 453 475 411 453
15 1650 30 228 218 225 199 226 217
16 1700 10 2257 2300 2276 2164 2252 2236
17 1700 20 904 951 859 863 897 889
18 1700 30 450 426 468 439 407 430
19 1750 10 3569 3596 3550 3513 3435 3588
20 1750 20 1662 1661 1680 1712 1699 1762
21 1750 30 804 809 877 808 816 809
22 1800 10 5220 5132 5095 5348 5221 5210
23 1800 20 2871 2851 2852 2803 2910 2833
24 1800 30 1673 1610 1686 1631 1644 1594
25 1850 10 7088 7025 7060 7029 7001 6987
26 1850 20 4136 4089 4143 4138 4112 4221
28 1850 30 2728 2655 2582 2647 2597 2714
29 1900 10 9265 9447 9299 9223 9156 9332
30 1900 20 5707 5864 5669 5859 5765 5679
31 1900 30 3882 3845 3904 3976 3904 3980
